name of the site,location(x_y),area, areaX, perimeter, perimeterX, areaEnclosingCircle, areaFitEllipse, areaMinAreaRectangle, eccentricity, orientation, convexity, 0degDiam, 45degDiam, 90degDiam, 135degDiam
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2406_408,3.63E-16,4.69E-16,7.19E-08,8.54E-08,4.55E-16,1.48E-15,4.53E-16,0.878787082,101.9360352,0.978325123,5.98E-08,6.07E-08,5.81E-08,5.98E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2314_408,3.98E-16,5.09E-16,7.59E-08,8.89E-08,5.19E-16,1.64E-15,4.87E-16,0.815638185,94.48542786,0.974084004,5.81E-08,5.90E-08,5.81E-08,5.98E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2216_412,2.28E-16,3.13E-16,5.66E-08,6.67E-08,2.66E-16,9.69E-16,2.77E-16,0.931644122,79.47488403,0.979591837,5.81E-08,5.55E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2826_480,4.31E-16,5.45E-16,7.83E-08,9.23E-08,4.87E-16,1.77E-15,5.32E-16,0.948515882,83.30181885,0.977630489,5.64E-08,5.90E-08,5.81E-08,5.90E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1056_484,4.79E-16,5.99E-16,8.29E-08,9.74E-08,5.73E-16,1.98E-15,5.93E-16,0.931858967,38.25731659,0.97472119,5.98E-08,6.07E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3376_484,3.37E-16,4.39E-16,6.90E-08,8.20E-08,4.07E-16,1.39E-15,4.20E-16,0.88854176,40.91251373,0.977730647,5.73E-08,5.81E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3760_486,3.97E-16,5.07E-16,7.51E-08,8.72E-08,4.72E-16,1.64E-15,4.73E-16,0.868090524,3.098374844,0.981949458,5.98E-08,5.90E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1890_488,4.67E-16,5.86E-16,8.12E-08,9.57E-08,5.54E-16,1.94E-15,5.72E-16,0.906239408,28.59536934,0.980828221,5.81E-08,5.90E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2544_488,5.67E-16,6.99E-16,9.09E-08,1.06E-07,6.47E-16,2.34E-15,7.02E-16,0.970910954,15.6928072,0.96762142,5.81E-08,5.64E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3568_486,5.82E-16,7.13E-16,9.04E-08,1.06E-07,6.72E-16,2.40E-15,7.01E-16,0.948556727,57.18972397,0.979102643,5.90E-08,5.73E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1242_490,6.21E-16,7.57E-16,9.36E-08,1.11E-07,6.86E-16,2.52E-15,7.71E-16,0.976616799,166.180603,0.980403458,5.90E-08,5.81E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1430_488,5.85E-16,7.18E-16,9.14E-08,1.09E-07,6.41E-16,2.37E-15,7.48E-16,0.983400395,91.34712982,0.975045648,5.64E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2080_488,6.18E-16,7.56E-16,9.43E-08,1.13E-07,6.89E-16,2.50E-15,7.88E-16,0.97274303,140.5806122,0.972429638,5.98E-08,5.81E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2638_490,5.71E-16,7.03E-16,9.06E-08,1.08E-07,6.26E-16,2.31E-15,7.24E-16,0.98253308,143.3209229,0.97627965,5.73E-08,5.64E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3196_490,6.26E-16,7.64E-16,9.48E-08,1.13E-07,6.89E-16,2.56E-15,7.95E-16,0.957280861,85.28502655,0.973340896,5.90E-08,5.81E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3474_488,6.21E-16,7.56E-16,9.34E-08,1.09E-07,7.05E-16,2.57E-15,7.47E-16,0.949497436,56.54768372,0.980392157,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 126_492,5.85E-16,7.20E-16,9.26E-08,1.11E-07,6.51E-16,2.39E-15,7.43E-16,0.968326149,54.80308533,0.970338983,5.73E-08,5.55E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 500_490,5.89E-16,7.22E-16,9.14E-08,1.09E-07,6.43E-16,2.39E-15,7.48E-16,0.96916383,155.1203003,0.977562159,5.64E-08,5.64E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 686_492,6.18E-16,7.54E-16,9.31E-08,1.11E-07,6.79E-16,2.51E-15,7.71E-16,0.972631455,39.84848022,0.980869565,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 780_490,5.84E-16,7.16E-16,9.09E-08,1.06E-07,6.67E-16,2.42E-15,7.02E-16,0.961580205,163.7963257,0.979192166,5.81E-08,5.73E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 870_490,6.02E-16,7.38E-16,9.28E-08,1.13E-07,6.87E-16,2.43E-15,7.72E-16,0.942030821,21.31261635,0.97457126,5.81E-08,5.81E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1336_492,6.31E-16,7.70E-16,9.55E-08,1.15E-07,7.07E-16,2.55E-15,8.19E-16,0.949958614,177.711853,0.96969697,5.90E-08,5.81E-08,5.81E-08,5.55E-08
