Site,Layer,Unit,GridX,GridY,X (nm),Y (nm),EdgeDistance (nm),Area (nm2),MinorLength,MajorLength,Eccentricity ,RMSDeviation,RMSDeviationPercentage,ROI Deviation,StdSlope
1,12,0,0,0,-1.95E-06,2.30E-06,3.48E-08,10359.0895,110.604819,119.2497997,0.373810051,2.423899652,2.032623667,36.01430957,0.61192688
1,12,0,1,0,-1.79E-06,2.30E-06,3.65E-08,10448.6453,112.1299997,118.6446841,0.326807858,1.948842576,1.642587353,37.4816154,0.68517168
1,12,0,2,0,-1.64E-06,2.30E-06,3.60E-08,10555.5487,112.0897658,119.901598,0.355048263,1.768762731,1.475178613,37.6895086,0.615540778
1,12,0,3,0,-1.48E-06,2.30E-06,3.72E-08,10043.8701,110.9596652,115.251363,0.270349383,2.276482446,1.975232559,37.27910011,0.674219839
1,12,0,4,0,-1.32E-06,2.30E-06,3.29E-08,10937.7446,112.8472968,123.408973,0.404772834,1.610946068,1.30537191,36.54700709,0.637810486
1,12,0,5,0,-1.17E-06,2.30E-06,3.30E-08,10828.2621,113.1754157,121.8194916,0.369974445,1.673290311,1.373581756,36.53186601,0.759533968
1,12,0,6,0,-1.01E-06,2.29E-06,3.25E-08,10609.6756,114.8219337,117.6487647,0.217894699,2.589934798,2.201412658,36.27386303,0.625697221
1,12,0,7,0,-8.51E-07,2.30E-06,3.21E-08,10523.6164,115.161672,116.3502086,0.142569216,1.983237965,1.70454182,37.43058093,0.581797114
1,12,0,8,0,-6.94E-07,2.29E-06,3.51E-08,10087.2485,110.7868519,115.9296752,0.294542367,2.01114652,1.734798719,36.98745049,0.729992128
1,12,0,9,0,-5.38E-07,2.29E-06,3.50E-08,10073.6998,110.8161399,115.7433656,0.288666418,1.838740805,1.588636028,37.23005583,0.535973355
1,12,0,10,0,-3.82E-07,2.29E-06,3.32E-08,11333.6337,111.2716894,129.6864525,0.513640501,3.801676446,2.931436841,37.83537607,0.699315802
1,12,0,11,0,-2.23E-07,2.29E-06,3.35E-08,10060.749,112.7381478,113.6238598,0.124617343,1.61908005,1.424947237,37.15761233,0.640698504
1,12,0,12,0,-6.80E-08,2.29E-06,3.40E-08,10925.9446,113.2482893,122.8393371,0.387375525,2.860445636,2.328607189,37.46947911,0.664743621
1,12,0,13,0,9.08E-08,2.29E-06,3.23E-08,10054.3426,106.9978671,119.6433815,0.447454673,2.221746941,1.85697438,37.53592874,0.622946297
1,12,0,14,0,2.47E-07,2.28E-06,3.38E-08,9485.3425,104.6578603,115.3961407,0.421250782,2.700930076,2.340572276,37.90480281,0.529143645
1,12,0,15,0,4.03E-07,2.28E-06,3.52E-08,10176.4122,108.1186082,119.8407079,0.431347229,2.265479391,1.890408886,37.78051433,0.574029132
1,12,0,16,0,5.60E-07,2.28E-06,3.23E-08,10102.8737,107.0625637,120.148238,0.45383202,1.732651616,1.442094903,37.67187393,0.646280183
1,12,0,17,0,7.16E-07,2.28E-06,3.44E-08,10380.1467,110.0137328,120.1342136,0.401732913,1.608254318,1.33871465,38.08161596,0.652578137
1,12,0,18,0,8.70E-07,2.28E-06,3.34E-08,10015.5663,108.0394107,118.0329941,0.402699393,1.818800583,1.540925567,37.99166888,0.66477432
1,12,0,19,0,1.03E-06,2.28E-06,3.27E-08,10374.2445,110.8146311,119.1981447,0.368399916,1.897589314,1.591962121,38.30619842,0.593384477
1,12,0,20,0,1.18E-06,2.28E-06,3.20E-08,10089.2296,107.6940171,119.2824498,0.42995818,2.163591033,1.813838529,37.36765674,0.58563081
1,12,0,21,0,1.34E-06,2.28E-06,3.47E-08,9955.94774,108.4112351,116.9279767,0.374659445,2.235499638,1.911860362,37.88142477,0.522672911
1,12,0,22,0,1.50E-06,2.28E-06,3.58E-08,9892.09364,105.7849686,119.0623296,0.458907697,1.777172323,1.492640307,37.59967485,0.596023137
1,12,0,23,0,1.65E-06,2.28E-06,3.49E-08,10149.476,111.2578055,116.1510801,0.287197235,1.702745296,1.46597457,37.98967314,0.486910666
1,12,0,24,0,1.81E-06,2.28E-06,3.30E-08,9830.07438,106.0109234,118.0636771,0.440172748,1.876653985,1.589526966,37.10868512,0.538942759
1,12,0,25,0,1.97E-06,2.28E-06,3.34E-08,10661.6324,114.1464091,118.9245654,0.280609713,1.787240328,1.502835283,37.96157227,0.690606748
1,12,0,1,1,-1.72E-06,2.16E-06,0,9946.67243,109.7631348,115.3802386,0.308215429,1.93820092,1.679837851,40.43713353,0.500328018
1,12,0,2,1,-1.56E-06,2.16E-06,0,10088.3482,108.2839475,118.6222351,0.408301868,1.211380287,1.021208449,40.39719278,0.606689099
1,12,0,3,1,-1.40E-06,2.16E-06,0,10242.361,110.4956729,118.0225325,0.351400505,1.014413751,0.859508544,40.49150911,0.547249571
1,12,0,4,1,-1.25E-06,2.16E-06,0,10220.9106,111.1108925,117.1232385,0.316278162,1.449515864,1.237598859,40.6533589,0.455309821
1,12,0,5,1,-1.09E-06,2.16E-06,0,10167.8022,109.1464277,118.6117421,0.391450471,1.105857826,0.932334191,41.01148129,0.375591386
